A52
第2119回ロト６,数字選択式全国自治宝くじ,令和8年7月13日,東京 宝くじドリーム館
支払期間,令和8年7月14日から令和9年7月13日まで
本数字,15,18,20,22,30,38,ボーナス数字,42
１等,1口,600000000円
２等,2口,44295500円
３等,193口,495700円
４等,11079口,9100円
５等,192434口,1000円
キャリーオーバー,177434948円
販売実績額,1717983800円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
