A52
第2104回ロト６,数字選択式全国自治宝くじ,令和8年5月21日,東京 宝くじドリーム館
支払期間,令和8年5月22日から令和9年5月21日まで
本数字,18,19,21,25,28,34,ボーナス数字,04
１等,1口,200000000円
２等,9口,7195000円
３等,180口,388500円
４等,9725口,7500円
５等,153283口,1000円
キャリーオーバー,15845051円
販売実績額,1283811800円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
