A52
第2020回ロト６,数字選択式全国自治宝くじ,令和7年7月28日,東京 宝くじドリーム館
支払期間,令和7年7月29日から令和8年7月28日まで
本数字,05,21,23,28,38,39,ボーナス数字,32
１等,該当なし,該当なし
２等,1口,66651100円
３等,176口,408900円
４等,9360口,8100円
５等,157824口,1000円
キャリーオーバー,222163139円
販売実績額,1321511200円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
