A52
第2008回ロト６,数字選択式全国自治宝くじ,令和7年6月16日,東京 宝くじドリーム館
支払期間,令和7年6月17日から令和8年6月16日まで
本数字,05,08,09,17,22,36,ボーナス数字,30
１等,1口,212980400円
２等,15口,4213900円
３等,403口,169300円
４等,16397口,4300円
５等,232774口,1000円
キャリーオーバー,0円
販売実績額,1437931000円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
