A52
第2131回ロト６,数字選択式全国自治宝くじ,令和8年8月24日,東京 宝くじドリーム館
支払期間,令和8年8月25日から令和9年8月24日まで
本数字,25,26,28,33,35,43,ボーナス数字,09
１等,該当なし,該当なし
２等,3口,23703800円
３等,126口,609500円
４等,7419口,10900円
５等,138544口,1000円
キャリーオーバー,237030272円
販売実績額,1343632000円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
