A52
第2127回ロト６,数字選択式全国自治宝くじ,令和8年8月10日,東京 宝くじドリーム館
支払期間,令和8年8月11日から令和9年8月10日まで
本数字,07,12,15,29,30,33,ボーナス数字,22
１等,1口,408302200円
２等,5口,14706900円
３等,357口,222400円
４等,13333口,6200円
５等,200568口,1000円
キャリーオーバー,0円
販売実績額,1516759000円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
