A52
第2076回ロト６,数字選択式全国自治宝くじ,令和8年2月12日,東京 宝くじドリーム館
支払期間,令和8年2月13日から令和9年2月12日まで
本数字,01,09,20,22,28,41,ボーナス数字,30
１等,5口,94842000円
２等,7口,10800100円
３等,579口,141000円
４等,14943口,5700円
５等,195735口,1000円
キャリーオーバー,0円
販売実績額,1536115200円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
