A52
第2037回ロト６,数字選択式全国自治宝くじ,令和7年9月25日,東京 宝くじドリーム館
支払期間,令和7年9月26日から令和8年9月25日まで
本数字,07,12,20,23,27,29,ボーナス数字,10
１等,該当なし,該当なし
２等,3口,19538100円
３等,251口,252100円
４等,12515口,5300円
５等,188891口,1000円
キャリーオーバー,195374667円
販売実績額,1273490800円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
