A52
第2045回ロト６,数字選択式全国自治宝くじ,令和7年10月23日,東京 宝くじドリーム館
支払期間,令和7年10月24日から令和8年10月23日まで
本数字,01,04,07,12,16,28,ボーナス数字,19
１等,3口,239377600円
２等,14口,5008600円
３等,596口,127000円
４等,21477口,3700円
５等,272776口,1000円
キャリーオーバー,0円
販売実績額,1627500600円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
