A52
第2097回ロト６,数字選択式全国自治宝くじ,令和8年4月27日,東京 宝くじドリーム館
支払期間,令和8年4月28日から令和9年4月27日まで
本数字,03,20,24,27,34,42,ボーナス数字,37
１等,該当なし,該当なし
２等,4口,21894400円
３等,261口,362300円
４等,12217口,8100円
５等,202554口,1000円
キャリーオーバー,785838686円
販売実績額,1725714600円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
