A52
第2122回ロト６,数字選択式全国自治宝くじ,令和8年7月23日,東京 宝くじドリーム館
支払期間,令和8年7月24日から令和9年7月23日まで
本数字,12,15,18,21,26,32,ボーナス数字,41
１等,該当なし,該当なし
２等,8口,8735200円
３等,224口,336900円
４等,10717口,7400円
５等,174785口,1000円
キャリーオーバー,311395743円
販売実績額,1406261200円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
