A52
第2109回ロト６,数字選択式全国自治宝くじ,令和8年6月8日,東京 宝くじドリーム館
支払期間,令和8年6月9日から令和9年6月8日まで
本数字,06,11,19,31,38,41,ボーナス数字,03
１等,1口,200000000円
２等,6口,10863700円
３等,234口,300800円
４等,10718口,6900円
５等,171685口,1000円
キャリーオーバー,17268406円
販売実績額,1330924800円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
