A52
第2111回ロト６,数字選択式全国自治宝くじ,令和8年6月15日,東京 宝くじドリーム館
支払期間,令和8年6月16日から令和9年6月15日まで
本数字,01,05,08,12,37,43,ボーナス数字,36
１等,該当なし,該当なし
２等,5口,12451400円
３等,259口,259500円
４等,13929口,5100円
５等,216748口,1000円
キャリーオーバー,207517626円
販売実績額,1388456600円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
