A52
第2101回ロト６,数字選択式全国自治宝くじ,令和8年5月11日,東京 宝くじドリーム館
支払期間,令和8年5月12日から令和9年5月11日まで
本数字,01,17,29,33,40,42,ボーナス数字,21
１等,2口,119417600円
２等,3口,23884300円
３等,158口,489700円
４等,8609口,9400円
５等,143366口,1000円
キャリーオーバー,0円
販売実績額,1362235400円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
