A52
第2048回ロト６,数字選択式全国自治宝くじ,令和7年11月3日,東京 宝くじドリーム館
支払期間,令和7年11月4日から令和8年11月3日まで
本数字,08,13,18,32,37,43,ボーナス数字,27
１等,該当なし,該当なし
２等,7口,11040800円
３等,162口,515200円
４等,10649口,8200円
５等,175084口,1000円
キャリーオーバー,468334806円
販売実績額,1514767200円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
