A52
第2059回ロト６,数字選択式全国自治宝くじ,令和7年12月11日,東京 宝くじドリーム館
支払期間,令和7年12月12日から令和8年12月11日まで
本数字,02,13,26,28,38,43,ボーナス数字,03
１等,2口,110548300円
２等,6口,11055100円
３等,193口,371100円
４等,10577口,7100円
５等,161791口,1000円
キャリーオーバー,0円
販売実績額,1325666600円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
