A52
第2098回ロト６,数字選択式全国自治宝くじ,令和8年4月30日,東京 宝くじドリーム館
支払期間,令和8年5月1日から令和9年4月30日まで
本数字,01,06,15,18,19,42,ボーナス数字,24
１等,2口,536215400円
２等,18口,4776600円
３等,254口,365500円
４等,14486口,6700円
５等,235925口,1000円
キャリーオーバー,0円
販売実績額,1776606000円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
