A52
第2079回ロト６,数字選択式全国自治宝くじ,令和8年2月23日,東京 宝くじドリーム館
支払期間,令和8年2月24日から令和9年2月23日まで
本数字,05,11,15,17,24,39,ボーナス数字,31
１等,該当なし,該当なし
２等,16口,3884800円
３等,311口,215800円
４等,13225口,5300円
５等,195301口,1000円
キャリーオーバー,207185202円
販売実績額,1339344000円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
