A52
第2130回ロト６,数字選択式全国自治宝くじ,令和8年8月20日,東京 宝くじドリーム館
支払期間,令和8年8月21日から令和9年8月20日まで
本数字,12,18,35,40,41,43,ボーナス数字,03
１等,1口,510089600円
２等,7口,11576500円
３等,159口,550400円
４等,9411口,9800円
５等,160646口,1000円
キャリーオーバー,0円
販売実績額,1537300800円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
