A52
第2063回ロト６,数字選択式全国自治宝くじ,令和7年12月25日,東京 宝くじドリーム館
支払期間,令和7年12月26日から令和8年12月25日まで
本数字,04,28,29,30,38,42,ボーナス数字,15
１等,該当なし,該当なし
２等,6口,13231600円
３等,144口,595400円
４等,9010口,10000円
５等,162075口,1000円
キャリーオーバー,313298859円
販売実績額,1516501600円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
