A52
第2053回ロト６,数字選択式全国自治宝くじ,令和7年11月20日,東京 宝くじドリーム館
支払期間,令和7年11月21日から令和8年11月20日まで
本数字,20,28,31,35,37,41,ボーナス数字,13
１等,該当なし,該当なし
２等,4口,21547200円
３等,145口,641900円
４等,9252口,10600円
５等,162769口,1000円
キャリーオーバー,724468616円
販売実績額,1617074400円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
