A52
第2106回ロト６,数字選択式全国自治宝くじ,令和8年5月28日,東京 宝くじドリーム館
支払期間,令和8年5月29日から令和9年5月28日まで
本数字,01,06,17,27,34,43,ボーナス数字,24
１等,2口,261492400円
２等,12口,6397500円
３等,269口,308200円
４等,12294口,7100円
５等,193814口,1000円
キャリーオーバー,0円
販売実績額,1548881800円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
