A52
第2009回ロト６,数字選択式全国自治宝くじ,令和7年6月19日,東京 宝くじドリーム館
支払期間,令和7年6月20日から令和8年6月19日まで
本数字,08,17,20,35,36,40,ボーナス数字,12
１等,2口,110607700円
２等,5口,13273300円
３等,173口,414200円
４等,9240口,8100円
５等,148204口,1000円
キャリーオーバー,0円
販売実績額,1295992400円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
