A52
第2125回ロト６,数字選択式全国自治宝くじ,令和8年8月3日,東京 宝くじドリーム館
支払期間,令和8年8月4日から令和9年8月3日まで
本数字,03,22,25,28,30,43,ボーナス数字,39
１等,該当なし,該当なし
２等,7口,11573900円
３等,241口,363000円
４等,11686口,7900円
５等,192682口,1000円
キャリーオーバー,489963936円
販売実績額,1608222400円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
