A52
第2099回ロト６,数字選択式全国自治宝くじ,令和8年5月4日,東京 宝くじドリーム館
支払期間,令和8年5月5日から令和9年5月4日まで
本数字,19,21,34,36,39,42,ボーナス数字,43
１等,該当なし,該当なし
２等,2口,36859100円
３等,126口,631800円
４等,7983口,10500円
５等,139177口,1000円
キャリーオーバー,245719871円
販売実績額,1383009800円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
