A52
第2071回ロト６,数字選択式全国自治宝くじ,令和8年1月26日,東京 宝くじドリーム館
支払期間,令和8年1月27日から令和9年1月26日まで
本数字,15,24,29,32,33,35,ボーナス数字,14
１等,該当なし,該当なし
２等,4口,18897900円
３等,253口,322600円
４等,11221口,7600円
５等,177707口,1000円
キャリーオーバー,273871384円
販売実績額,1495918000円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
