A52
第2035回ロト６,数字選択式全国自治宝くじ,令和7年9月18日,東京 宝くじドリーム館
支払期間,令和7年9月19日から令和8年9月18日まで
本数字,05,10,12,17,21,35,ボーナス数字,09
１等,該当なし,該当なし
２等,9口,6565600円
３等,286口,223100円
４等,12973口,5100円
５等,187195口,1000円
キャリーオーバー,196961791円
販売実績額,1276657200円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
