A52
第2028回ロト６,数字選択式全国自治宝くじ,令和7年8月25日,東京 宝くじドリーム館
支払期間,令和7年8月26日から令和8年8月25日まで
本数字,06,10,12,19,21,42,ボーナス数字,16
１等,該当なし,該当なし
２等,6口,10756700円
３等,334口,208600円
４等,15152口,4800円
５等,208583口,1000円
キャリーオーバー,216271318円
販売実績額,1403570600円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
