A52
第2040回ロト６,数字選択式全国自治宝くじ,令和7年10月6日,大阪 宝くじドリーム館
支払期間,令和7年10月7日から令和8年10月6日まで
本数字,07,12,14,15,24,30,ボーナス数字,32
１等,1口,474998900円
２等,8口,9735400円
３等,301口,279400円
４等,14739口,6000円
５等,229684口,1000円
キャリーオーバー,0円
販売実績額,1644805200円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
