A52
第2132回ロト６,数字選択式全国自治宝くじ,令和8年8月27日,東京 宝くじドリーム館
支払期間,令和8年8月28日から令和9年8月27日まで
本数字,09,15,16,19,31,32,ボーナス数字,04
１等,2口,246410700円
２等,8口,9592400円
３等,213口,389000円
４等,10351口,8400円
５等,174843口,1000円
キャリーオーバー,0円
販売実績額,1506277000円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
