A52
第2026回ロト６,数字選択式全国自治宝くじ,令和7年8月18日,東京 宝くじドリーム館
支払期間,令和7年8月19日から令和8年8月18日まで
本数字,02,05,08,11,20,26,ボーナス数字,28
１等,6口,71626100円
２等,20口,3324400円
３等,649口,110600円
４等,21880口,3400円
５等,265529口,1000円
キャリーオーバー,0円
販売実績額,1558486200円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
