A52
第2005回ロト６,数字選択式全国自治宝くじ,令和7年6月5日,東京 宝くじドリーム館
支払期間,令和7年6月6日から令和8年6月5日まで
本数字,03,07,18,27,33,34,ボーナス数字,06
１等,該当なし,該当なし
２等,10口,7290300円
３等,403口,195300円
４等,16493口,5000円
５等,227754口,1000円
キャリーオーバー,480117370円
販売実績額,1567980800円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
