A52
第2029回ロト６,数字選択式全国自治宝くじ,令和7年8月28日,東京 宝くじドリーム館
支払期間,令和7年8月29日から令和8年8月28日まで
本数字,07,21,31,36,40,43,ボーナス数字,41
１等,1口,488049000円
２等,該当なし,該当なし
３等,162口,543500円
４等,9379口,9900円
５等,164175口,1000円
キャリーオーバー,81535997円
販売実績額,1552426600円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
