A52
第2083回ロト６,数字選択式全国自治宝くじ,令和8年3月9日,東京 宝くじドリーム館
支払期間,令和8年3月10日から令和9年3月9日まで
本数字,08,10,13,17,26,29,ボーナス数字,43
１等,該当なし,該当なし
２等,7口,9010700円
３等,302口,225500円
４等,13544口,5300円
５等,199383口,1000円
キャリーオーバー,210243220円
販売実績額,1361777800円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
