A52
第2043回ロト６,数字選択式全国自治宝くじ,令和7年10月16日,東京 宝くじドリーム館
支払期間,令和7年10月17日から令和8年10月16日まで
本数字,11,19,22,34,40,42,ボーナス数字,31
１等,該当なし,該当なし
２等,5口,13422300円
３等,183口,396000円
４等,8573口,8900円
５等,142617口,1000円
キャリーオーバー,223699102円
販売実績額,1294429600円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
