A52
第2030回ロト６,数字選択式全国自治宝くじ,令和7年9月1日,東京 宝くじドリーム館
支払期間,令和7年9月2日から令和8年9月1日まで
本数字,03,07,28,29,32,36,ボーナス数字,13
１等,該当なし,該当なし
２等,4口,18228100円
３等,264口,298200円
４等,12618口,6500円
５等,198695口,1000円
キャリーオーバー,324569514円
販売実績額,1503533400円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
