A52
第2058回ロト６,数字選択式全国自治宝くじ,令和7年12月8日,東京 宝くじドリーム館
支払期間,令和7年12月9日から令和8年12月8日まで
本数字,09,12,14,16,19,42,ボーナス数字,18
１等,2口,115587500円
２等,4口,17338600円
３等,171口,438000円
４等,9488口,8300円
５等,172385口,1000円
キャリーオーバー,0円
販売実績額,1393248400円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
