A52
第2086回ロト６,数字選択式全国自治宝くじ,令和8年3月19日,東京 宝くじドリーム館
支払期間,令和8年3月20日から令和9年3月19日まで
本数字,04,11,19,28,39,40,ボーナス数字,06
１等,該当なし,該当なし
２等,15口,4915400円
３等,296口,269000円
４等,12723口,6600円
５等,188055口,1000円
キャリーオーバー,377168743円
販売実績額,1491824800円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
