A52
第2056回ロト６,数字選択式全国自治宝くじ,令和7年12月1日,東京 宝くじドリーム館
支払期間,令和7年12月2日から令和8年12月1日まで
本数字,03,07,15,17,19,30,ボーナス数字,38
１等,1口,600000000円
２等,6口,14641600円
３等,408口,232500円
４等,17973口,5500円
５等,262734口,1000円
キャリーオーバー,386535047円
販売実績額,1863410800円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
