A52
第2021回ロト６,数字選択式全国自治宝くじ,令和7年7月31日,東京 宝くじドリーム館
支払期間,令和7年8月1日から令和8年7月31日まで
本数字,02,17,22,29,30,43,ボーナス数字,31
１等,該当なし,該当なし
２等,8口,9434100円
３等,216口,377300円
４等,10525口,8100円
５等,171200口,1000円
キャリーオーバー,473732119円
販売実績額,1479731000円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
