A52
第2033回ロト６,数字選択式全国自治宝くじ,令和7年9月11日,東京 宝くじドリーム館
支払期間,令和7年9月12日から令和8年9月11日まで
本数字,05,16,21,22,33,35,ボーナス数字,26
１等,3口,85086700円
２等,7口,9946200円
３等,242口,310700円
４等,10699口,7400円
５等,167344口,1000円
キャリーオーバー,0円
販売実績額,1385965400円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
