A52
第2032回ロト６,数字選択式全国自治宝くじ,令和7年9月8日,東京 宝くじドリーム館
支払期間,令和7年9月9日から令和8年9月8日まで
本数字,08,15,27,33,37,39,ボーナス数字,31
１等,1口,200000000円
２等,7口,9565500円
３等,366口,197500円
４等,12928口,5900円
５等,182907口,1000円
キャリーオーバー,23188375円
販売実績額,1381731200円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
