A52
第2107回ロト６,数字選択式全国自治宝くじ,令和8年6月1日,東京 宝くじドリーム館
支払期間,令和8年6月2日から令和9年6月1日まで
本数字,05,08,27,32,36,39,ボーナス数字,38
１等,1口,200000000円
２等,6口,11670300円
３等,241口,313700円
４等,11251口,7100円
５等,181175口,1000円
キャリーオーバー,33399525円
販売実績額,1422502200円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
