A52
第2051回ロト６,数字選択式全国自治宝くじ,令和7年11月13日,東京 宝くじドリーム館
支払期間,令和7年11月14日から令和8年11月13日まで
本数字,03,15,27,28,31,39,ボーナス数字,20
１等,2口,600000000円
２等,15口,6459800円
３等,481口,217500円
４等,17971口,6100円
５等,258708口,1000円
キャリーオーバー,176502270円
販売実績額,1986249800円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
