A52
第2038回ロト６,数字選択式全国自治宝くじ,令和7年9月29日,東京 宝くじドリーム館
支払期間,令和7年9月30日から令和8年9月29日まで
本数字,05,31,37,39,41,42,ボーナス数字,33
１等,1口,468137300円
２等,10口,8183100円
３等,156口,566500円
４等,8779口,10600円
５等,152703口,1000円
キャリーオーバー,0円
販売実績額,1531237000円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
