A52
第2078回ロト６,数字選択式全国自治宝くじ,令和8年2月19日,東京 宝くじドリーム館
支払期間,令和8年2月20日から令和9年2月19日まで
本数字,01,10,20,24,30,35,ボーナス数字,41
１等,1口,495292100円
２等,6口,12821200円
３等,245口,339000円
４等,12042口,7200円
５等,181113口,1000円
キャリーオーバー,0円
販売実績額,1522940600円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
