A52
第2121回ロト６,数字選択式全国自治宝くじ,令和8年7月20日,東京 宝くじドリーム館
支払期間,令和8年7月21日から令和9年7月20日まで
本数字,01,03,10,17,25,26,ボーナス数字,36
１等,1口,600000000円
２等,11口,7086200円
３等,479口,175700円
４等,17960口,4900円
５等,251843口,1000円
キャリーオーバー,78463295円
販売実績額,1694990200円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
