A52
第2085回ロト６,数字選択式全国自治宝くじ,令和8年3月16日,東京 宝くじドリーム館
支払期間,令和8年3月17日から令和9年3月16日まで
本数字,06,08,13,26,35,43,ボーナス数字,14
１等,1口,600000000円
２等,3口,26889600円
３等,276口,315600円
４等,12985口,7000円
５等,208313口,1000円
キャリーオーバー,131403738円
販売実績額,1637882200円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
