A52
第2044回ロト６,数字選択式全国自治宝くじ,令和7年10月20日,東京 宝くじドリーム館
支払期間,令和7年10月21日から令和8年10月20日まで
本数字,01,06,11,26,33,40,ボーナス数字,14
１等,該当なし,該当なし
２等,6口,13035600円
３等,291口,290200円
４等,13818口,6400円
５等,212520口,1000円
キャリーオーバー,484403623円
販売実績額,1611473000円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
