A52
第2070回ロト６,数字選択式全国自治宝くじ,令和8年1月22日,東京 宝くじドリーム館
支払期間,令和8年1月23日から令和9年1月22日まで
本数字,06,10,25,30,34,36,ボーナス数字,12
１等,1口,200000000円
２等,9口,7397100円
３等,151口,476100円
４等,8966口,8400円
５等,156035口,1000円
キャリーオーバー,21907185円
販売実績額,1316417200円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
