A52
第2082回ロト６,数字選択式全国自治宝くじ,令和8年3月5日,大阪 宝くじドリーム館
支払期間,令和8年3月6日から令和9年3月5日まで
本数字,05,11,14,19,25,40,ボーナス数字,17
１等,2口,266807600円
２等,6口,14329900円
３等,293口,316900円
４等,14596口,6700円
５等,232454口,1000円
キャリーオーバー,0円
販売実績額,1768884400円
１等,申込数字が本数字６個と全て一致
２等,申込数字が本数字５個と一致し、更にボーナス数字１個と一致
３等,申込数字が本数字５個と一致
４等,申込数字が本数字４個と一致
５等,申込数字が本数字３個と一致
