A53
第0629回ロト７,数字選択式全国自治宝くじ,令和7年6月6日,東京 宝くじドリーム館
支払期間,令和7年6月7日から令和8年6月6日まで
本数字,02,07,09,21,23,24,30,ボーナス数字,22,29
１等,該当なし,該当なし
２等,9口,5342800円
３等,104口,532500円
４等,5225口,6400円
５等,82104口,1300円
６等,131737口,1000円
キャリーオーバー,410077305円
販売実績額,1745454900円
１等,申込数字が本数字７個と全て一致
２等,申込数字が本数字６個と一致し、更にボーナス数字２個のうち１個と一致
３等,申込数字が本数字６個と一致
４等,申込数字が本数字５個と一致
５等,申込数字が本数字４個と一致
６等,申込数字が本数字３個と一致し、更にボーナス数字１個または２個と一致
