A53
第0643回ロト７,数字選択式全国自治宝くじ,令和7年9月12日,東京 宝くじドリーム館
支払期間,令和7年9月13日から令和8年9月12日まで
本数字,01,05,15,16,18,27,34,ボーナス数字,19,22
１等,1口,406203200円
２等,2口,23971500円
３等,96口,575200円
４等,4545口,7300円
５等,74803口,1500円
６等,128381口,1000円
キャリーオーバー,0円
販売実績額,1740287700円
１等,申込数字が本数字７個と全て一致
２等,申込数字が本数字６個と一致し、更にボーナス数字２個のうち１個と一致
３等,申込数字が本数字６個と一致
４等,申込数字が本数字５個と一致
５等,申込数字が本数字４個と一致
６等,申込数字が本数字３個と一致し、更にボーナス数字１個または２個と一致
