A53
第0647回ロト７,数字選択式全国自治宝くじ,令和7年10月10日,大阪 宝くじドリーム館
支払期間,令和7年10月11日から令和8年10月10日まで
本数字,04,05,09,13,17,22,28,ボーナス数字,18,31
１等,2口,434879400円
２等,15口,3781000円
３等,201口,325000円
４等,7877口,5000円
５等,109520口,1200円
６等,171116口,900円
キャリーオーバー,0円
販売実績額,2058711000円
１等,申込数字が本数字７個と全て一致
２等,申込数字が本数字６個と一致し、更にボーナス数字２個のうち１個と一致
３等,申込数字が本数字６個と一致
４等,申込数字が本数字５個と一致
５等,申込数字が本数字４個と一致
６等,申込数字が本数字３個と一致し、更にボーナス数字１個または２個と一致
