A53
第0688回ロト７,数字選択式全国自治宝くじ,令和8年7月31日,東京 宝くじドリーム館
支払期間,令和8年8月1日から令和9年7月31日まで
本数字,04,21,25,28,30,35,37,ボーナス数字,12,16
１等,該当なし,該当なし
２等,12口,5173400円
３等,128口,558600円
４等,5218口,8300円
５等,89558口,1600円
６等,169337口,1000円
キャリーオーバー,1365436540円
販売実績額,2253491100円
１等,申込数字が本数字７個と全て一致
２等,申込数字が本数字６個と一致し、更にボーナス数字２個のうち１個と一致
３等,申込数字が本数字６個と一致
４等,申込数字が本数字５個と一致
５等,申込数字が本数字４個と一致
６等,申込数字が本数字３個と一致し、更にボーナス数字１個または２個と一致
