A53
第0663回ロト７,数字選択式全国自治宝くじ,令和8年2月6日,東京 宝くじドリーム館
支払期間,令和8年2月7日から令和9年2月6日まで
本数字,04,06,10,11,13,17,23,ボーナス数字,25,32
１等,該当なし,該当なし
２等,9口,8294400円
３等,193口,445500円
４等,8470口,6100円
５等,134057口,1300円
６等,215089口,1000円
キャリーオーバー,2123132130円
販売実績額,2709717900円
１等,申込数字が本数字７個と全て一致
２等,申込数字が本数字６個と一致し、更にボーナス数字２個のうち１個と一致
３等,申込数字が本数字６個と一致
４等,申込数字が本数字５個と一致
５等,申込数字が本数字４個と一致
６等,申込数字が本数字３個と一致し、更にボーナス数字１個または２個と一致
