A53
第0672回ロト７,数字選択式全国自治宝くじ,令和8年4月10日,東京 宝くじドリーム館
支払期間,令和8年4月11日から令和9年4月10日まで
本数字,07,11,15,16,17,24,33,ボーナス数字,06,09
１等,1口,987027000円
２等,10口,6250000円
３等,126口,571300円
４等,7165口,6000円
５等,107970口,1300円
６等,187855口,900円
キャリーオーバー,0円
販売実績額,2268720600円
１等,申込数字が本数字７個と全て一致
２等,申込数字が本数字６個と一致し、更にボーナス数字２個のうち１個と一致
３等,申込数字が本数字６個と一致
４等,申込数字が本数字５個と一致
５等,申込数字が本数字４個と一致
６等,申込数字が本数字３個と一致し、更にボーナス数字１個または２個と一致
