A53
第0630回ロト７,数字選択式全国自治宝くじ,令和7年6月13日,東京 宝くじドリーム館
支払期間,令和7年6月14日から令和8年6月13日まで
本数字,04,06,08,23,28,29,34,ボーナス数字,10,19
１等,1口,905253400円
２等,9口,6358900円
３等,140口,470800円
４等,7287口,5400円
５等,107292口,1200円
６等,185524口,800円
キャリーオーバー,0円
販売実績額,2077416900円
１等,申込数字が本数字７個と全て一致
２等,申込数字が本数字６個と一致し、更にボーナス数字２個のうち１個と一致
３等,申込数字が本数字６個と一致
４等,申込数字が本数字５個と一致
５等,申込数字が本数字４個と一致
６等,申込数字が本数字３個と一致し、更にボーナス数字１個または２個と一致
