A53
第0632回ロト７,数字選択式全国自治宝くじ,令和7年6月27日,東京 宝くじドリーム館
支払期間,令和7年6月28日から令和8年6月27日まで
本数字,05,07,10,11,29,31,37,ボーナス数字,13,25
１等,該当なし,該当なし
２等,7口,6766500円
３等,146口,373700円
４等,6019口,5400円
５等,89869口,1200円
６等,148895口,900円
キャリーオーバー,397424060円
販売実績額,1719334800円
１等,申込数字が本数字７個と全て一致
２等,申込数字が本数字６個と一致し、更にボーナス数字２個のうち１個と一致
３等,申込数字が本数字６個と一致
４等,申込数字が本数字５個と一致
５等,申込数字が本数字４個と一致
６等,申込数字が本数字３個と一致し、更にボーナス数字１個または２個と一致
