A53
第0692回ロト７,数字選択式全国自治宝くじ,令和8年8月28日,東京 宝くじドリーム館
支払期間,令和8年8月29日から令和9年8月28日まで
本数字,07,09,15,18,20,28,31,ボーナス数字,21,34
１等,該当なし,該当なし
２等,15口,4887100円
３等,150口,562900円
４等,7833口,6500円
５等,125576口,1300円
６等,213279口,900円
キャリーオーバー,2458943110円
販売実績額,2660975400円
１等,申込数字が本数字７個と全て一致
２等,申込数字が本数字６個と一致し、更にボーナス数字２個のうち１個と一致
３等,申込数字が本数字６個と一致
４等,申込数字が本数字５個と一致
５等,申込数字が本数字４個と一致
６等,申込数字が本数字３個と一致し、更にボーナス数字１個または２個と一致
