A53
第0654回ロト７,数字選択式全国自治宝くじ,令和7年11月28日,東京 宝くじドリーム館
支払期間,令和7年11月29日から令和8年11月28日まで
本数字,03,12,25,29,30,32,33,ボーナス数字,28,31
１等,該当なし,該当なし
２等,1口,46473000円
３等,78口,686300円
４等,4451口,7200円
５等,75792口,1400円
６等,122540口,1100円
キャリーオーバー,386161670円
販売実績額,1686924600円
１等,申込数字が本数字７個と全て一致
２等,申込数字が本数字６個と一致し、更にボーナス数字２個のうち１個と一致
３等,申込数字が本数字６個と一致
４等,申込数字が本数字５個と一致
５等,申込数字が本数字４個と一致
６等,申込数字が本数字３個と一致し、更にボーナス数字１個または２個と一致
