A53
第0666回ロト７,数字選択式全国自治宝くじ,令和8年2月27日,東京 宝くじドリーム館
支払期間,令和8年2月28日から令和9年2月27日まで
本数字,02,17,18,22,23,25,33,ボーナス数字,16,34
１等,該当なし,該当なし
２等,5口,15876200円
３等,185口,494200円
４等,8046口,6800円
５等,130221口,1400円
６等,214363口,1000円
キャリーオーバー,2912341960円
販売実績額,2881459500円
１等,申込数字が本数字７個と全て一致
２等,申込数字が本数字６個と一致し、更にボーナス数字２個のうち１個と一致
３等,申込数字が本数字６個と一致
４等,申込数字が本数字５個と一致
５等,申込数字が本数字４個と一致
６等,申込数字が本数字３個と一致し、更にボーナス数字１個または２個と一致
