A53
第0669回ロト７,数字選択式全国自治宝くじ,令和8年3月20日,東京 宝くじドリーム館
支払期間,令和8年3月21日から令和9年3月20日まで
本数字,03,05,06,07,09,13,16,ボーナス数字,11,23
１等,2口,1200000000円
２等,22口,3778000円
３等,222口,431200円
４等,10209口,5600円
５等,148325口,1300円
６等,263260口,900円
キャリーオーバー,1558856305円
販売実績額,3017056800円
１等,申込数字が本数字７個と全て一致
２等,申込数字が本数字６個と一致し、更にボーナス数字２個のうち１個と一致
３等,申込数字が本数字６個と一致
４等,申込数字が本数字５個と一致
５等,申込数字が本数字４個と一致
６等,申込数字が本数字３個と一致し、更にボーナス数字１個または２個と一致
