A53
第0659回ロト７,数字選択式全国自治宝くじ,令和8年1月9日,東京 宝くじドリーム館
支払期間,令和8年1月10日から令和9年1月9日まで
本数字,02,08,09,14,27,34,36,ボーナス数字,05,18
１等,1口,1052412400円
２等,12口,5802800円
３等,162口,495100円
４等,8394口,5700円
５等,124990口,1300円
６等,208850口,900円
キャリーオーバー,0円
販売実績額,2527628700円
１等,申込数字が本数字７個と全て一致
２等,申込数字が本数字６個と一致し、更にボーナス数字２個のうち１個と一致
３等,申込数字が本数字６個と一致
４等,申込数字が本数字５個と一致
５等,申込数字が本数字４個と一致
６等,申込数字が本数字３個と一致し、更にボーナス数字１個または２個と一致
